weekdayMin,weekdayRate,ppCode,parkingSystem,ppName,vehCat,satdayMin,satdayRate,sunPHMin,sunPHRate,geometries/0/coordinates,geometries/1/coordinates,startTime,parkCapacity,endTime,remarks,geometries/2/coordinates,geometries/3/coordinates,geometries/4/coordinates,geometries/5/coordinates
30 mins,$1.20,P0006,C,PECK SEAH STREET ,Car,30 mins,$1.20,30 mins,$0.60,"29290.3697,28914.2544",,08.30 AM,4,05.00 PM,,,,,
30 mins,$0.60,P0006,C,PECK SEAH STREET ,Car,30 mins,$0.60,30 mins,$0.60,"29290.3697,28914.2544",,05.00 PM,4,10.00 PM,,,,,
30 mins,$2.40,P0006,C,PECK SEAH STREET ,Heavy Vehicle,30 mins,$2.40,30 mins,$1.20,"29290.3697,28914.2544",,08.30 AM,3,05.00 PM,,,,,
30 mins,$1.20,P0006,C,PECK SEAH STREET ,Heavy Vehicle,30 mins,$1.20,30 mins,$1.20,"29290.3697,28914.2544",,05.00 PM,3,10.00 PM,,,,,
870 mins,$0.65,P0006,C,PECK SEAH STREET ,Motorcycle,870 mins,$0.65,870 mins,$0.65,"29290.3697,28914.2544",,08.30 AM,11,10.00 PM,,,,,
30 mins,$1.20,P0009,C,PENANG LANE ,Car,30 mins,$1.20,30 mins,$0.60,"29225.2179,31096.8173",,08.30 AM,14,05.00 PM,,,,,
30 mins,$0.60,P0009,C,PENANG LANE ,Car,30 mins,$0.60,30 mins,$0.60,"29225.2179,31096.8173",,05.00 PM,14,10.00 PM,,,,,
870 mins,$0.65,P0009,C,PENANG LANE ,Motorcycle,870 mins,$0.65,870 mins,$0.65,"29225.2179,31096.8173",,08.30 AM,40,10.00 PM,,,,,
30 mins,$0.60,P0010,C,PERUMAL ROAD ,Car,30 mins,$0.60,30 mins,$0.60,"30476.6467,32774.539",,08.30 AM,8,10.00 PM,,,,,
30 mins,$0.60,P0011,C,PETAIN ROAD (SERANGOON ROAD / JALAN BESAR),Car,30 mins,$0.60,30 mins,$0.60,"30761.8743,32723.8824",,08.30 AM,62,10.00 PM,,,,,
30 mins,$1.20,P0013,B,PRINCE EDWARD ROAD / SHENTON WAY OFF STREET,Car,30 mins,$1.20,30 mins,$0.60,"29655.252,28623.257",,07.00 AM,84,11.00 AM,,,,,
30 mins,$1.50,P0013,B,PRINCE EDWARD ROAD / SHENTON WAY OFF STREET,Car,30 mins,$1.20,30 mins,$0.60,"29655.252,28623.257",,11.00 AM,84,05.00 PM,,,,,
30 mins,$0.60,P0013,B,PRINCE EDWARD ROAD / SHENTON WAY OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"29655.252,28623.257",,05.00 PM,84,10.30 PM,,,,,
30 mins,$0.60,P0013,B,PRINCE EDWARD ROAD / SHENTON WAY OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"29655.252,28623.257",,10.30 PM,84,07.00 AM,Per min charging. Parking charge between 10.30pm & 7am is capped at $5,,,,
510 mins,$5.00,P0013,B,PRINCE EDWARD ROAD / SHENTON WAY OFF STREET,Car,510 mins,$5.00,510 mins,$5.00,"29655.252,28623.257",,10.30 PM,84,07.00 AM,,,,,
930 mins,$0.65,P0013,B,PRINCE EDWARD ROAD / SHENTON WAY OFF STREET,Motorcycle,930 mins,$0.65,930 mins,$0.65,"29655.252,28623.257",,07.00 AM,66,10.30 PM,Per min charging. Parking charge between 7am & 10.30pm and between 10.30pm & 7am respectively is capped at $0.65.,,,,
510 mins,$0.65,P0013,B,PRINCE EDWARD ROAD / SHENTON WAY OFF STREET,Motorcycle,510 mins,$0.65,510 mins,$0.65,"29655.252,28623.257",,10.30 PM,66,07.00 AM,Per min charging. Parking charge between 7am & 10.30pm and between 10.30pm & 7am respectively is capped at $0.65.,,,,
30 mins,$1.20,P0015,C,PRINSEP STREET (MIDDLE/ROCHOR CANAL),Car,30 mins,$1.20,30 mins,$0.60,"29920.9456,31459.8437",,08.30 AM,47,05.00 PM,,,,,
30 mins,$0.60,P0015,C,PRINSEP STREET (MIDDLE/ROCHOR CANAL),Car,30 mins,$0.60,30 mins,$0.60,"29920.9456,31459.8437",,05.00 PM,47,10.00 PM,,,,,
30 mins,$2.40,P0015,C,PRINSEP STREET (MIDDLE/ROCHOR CANAL),Heavy Vehicle,30 mins,$2.40,30 mins,$1.20,"29920.9456,31459.8437",,08.30 AM,4,05.00 PM,,,,,
30 mins,$1.20,P0015,C,PRINSEP STREET (MIDDLE/ROCHOR CANAL),Heavy Vehicle,30 mins,$1.20,30 mins,$1.20,"29920.9456,31459.8437",,05.00 PM,4,10.00 PM,,,,,
870 mins,$0.65,P0015,C,PRINSEP STREET (MIDDLE/ROCHOR CANAL),Motorcycle,870 mins,$0.65,870 mins,$0.65,"29920.9456,31459.8437",,08.30 AM,26,10.00 PM,,,,,
30 mins,$1.20,P0018,C,PURVIS STREET ,Car,30 mins,$1.20,30 mins,$0.60,"30435.4879,30983.1398",,08.30 AM,44,05.00 PM,,,,,
30 mins,$0.60,P0018,C,PURVIS STREET ,Car,30 mins,$0.60,30 mins,$0.60,"30435.4879,30983.1398",,05.00 PM,44,10.00 PM,,,,,
870 mins,$0.65,P0018,C,PURVIS STREET ,Motorcycle,870 mins,$0.65,870 mins,$0.65,"30435.4879,30983.1398",,08.30 AM,6,10.00 PM,,,,,
30 mins,$0.60,P0023,C,PLUMER ROAD ,Car,30 mins,$0.60,30 mins,$0.60,"30802.1967,32444.5126",,08.30 AM,11,10.00 PM,,,,,
30 mins,$0.60,P0024,C,PRINCE OF WALES ROAD ,Car,30 mins,$0.60,0 mins,$0.00,"25262.3705,33922.8187",,08.30 AM,23,05.00 PM,,,,,
30 mins,$0.60,P0025,C,PRINCESS OF WALES ROAD ,Car,30 mins,$0.60,0 mins,$0.00,"25239.5611,34018.1688",,08.30 AM,3,05.00 PM,,,,,
30 mins,$0.60,P0028,C,PROME ROAD ,Car,30 mins,$0.60,30 mins,$0.60,"29808.2837,34182.7532",,08.30 AM,2,10.00 PM,,,,,
30 mins,$0.60,P0031,C,PEPYS ROAD OFF STREET ,Car,30 mins,$0.60,0 mins,$0.00,"23593.0226,28765.3468",,08.30 AM,30,05.00 PM,,,,,
570 mins,$0.65,P0031,C,PEPYS ROAD OFF STREET ,Motorcycle,570 mins,$0.65,0 mins,$0.00,"23593.0226,28765.3468",,08.30 AM,5,05.00 PM,,,,,
30 mins,$0.60,P0033,B,PASIR RIS CLOSE OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"41707.7337,39880.7452",,07.00 AM,302,10.30 PM,Per min charging. Parking charge between 10.30pm & 7am is capped at $5,,,,
30 mins,$0.60,P0033,B,PASIR RIS CLOSE OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"41707.7337,39880.7452",,10.30 PM,302,07.00 AM,Per min charging. Parking charge between 10.30pm & 7am is capped at $5,,,,
510 mins,$5.00,P0033,B,PASIR RIS CLOSE OFF STREET,Car,510 mins,$5.00,510 mins,$5.00,"41707.7337,39880.7452",,10.30 PM,302,07.00 AM,Per min charging. Parking charge between 10.30pm & 7am is capped at $5,,,,
930 mins,$0.65,P0033,B,PASIR RIS CLOSE OFF STREET,Motorcycle,930 mins,$0.65,930 mins,$0.65,"41707.7337,39880.7452",,07.00 AM,64,10.30 PM,,,,,
510 mins,$0.65,P0033,B,PASIR RIS CLOSE OFF STREET,Motorcycle,510 mins,$0.65,510 mins,$0.65,"41707.7337,39880.7452",,10.30 PM,64,07.00 AM,,,,,
30 mins,$0.60,P0035,C,PHENG GECK AVENUE ,Car,30 mins,$0.60,0 mins,$0.00,"32063.8761,34821.2975",,08.30 AM,57,05.00 PM,,,,,
30 mins,$0.60,P0036,C,PUAY HEE AVENUE ,Car,30 mins,$0.60,0 mins,$0.00,"32121.024,34735.4571",,08.30 AM,11,05.00 PM,,,,,
30 mins,$0.60,P0038,C,PERAK ROAD ,Car,30 mins,$0.60,0 mins,$0.00,"30286.9381,31966.8384",,08.30 AM,11,10.00 PM,,,,,
30 mins,$0.60,P0048,B,PEARL BANK OFF STREET ,Car,30 mins,$0.60,30 mins,$0.60,"28803.4452,29531.6622",,07.00 AM,22,10.30 PM,Per min charging. Parking charge between 10.30pm & 7am is capped at $5,,,,
30 mins,$0.60,P0048,B,PEARL BANK OFF STREET ,Car,30 mins,$0.60,30 mins,$0.60,"28803.4452,29531.6622",,10.30 PM,22,07.00 AM,Per min charging. Parking charge between 10.30pm & 7am is capped at $5,,,,
510 mins,$5.00,P0048,B,PEARL BANK OFF STREET ,Car,510 mins,$5.00,510 mins,$5.00,"28803.4452,29531.6622",,10.30 PM,22,07.00 AM,Per min charging. Parking charge between 10.30pm & 7am is capped at $5,,,,
930 mins,$0.65,P0048,B,PEARL BANK OFF STREET ,Motorcycle,930 mins,$0.65,930 mins,$0.65,"28803.4452,29531.6622",,07.00 AM,12,10.30 PM,Per min charging. Parking charge between 7am & 10.30pm and between 10.30pm & 7am respectively is capped at $0.65.,,,,
510 mins,$0.65,P0048,B,PEARL BANK OFF STREET ,Motorcycle,510 mins,$0.65,510 mins,$0.65,"28803.4452,29531.6622",,10.30 PM,12,07.00 AM,Per min charging. Parking charge between 7am & 10.30pm and between 10.30pm & 7am respectively is capped at $0.65.,,,,
30 mins,$0.60,P0049,C,PENSHURST PLACE ,Car,30 mins,$0.60,0 mins,$0.00,"31487.5126,38427.6742",,08.30 AM,8,10.00 PM,,,,,
30 mins,$0.60,P0051,C,PENHAS ROAD ,Car,30 mins,$0.60,30 mins,$0.60,"31273.3491,32406.2991",,08.30 AM,23,10.00 PM,,,,,
30 mins,$0.60,P0054,B,PASIR PANJANG FOOD CENTRE OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"23324.7961,28741.2253",,07.00 AM,58,10.30 PM,Per min charging. Parking charge between 10.30pm & 7am is capped at $5,,,,
30 mins,$0.60,P0054,B,PASIR PANJANG FOOD CENTRE OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"23324.7961,28741.2253",,10.30 PM,58,07.00 AM,Per min charging. Parking charge between 10.30pm & 7am is capped at $5,,,,
510 mins,$5.00,P0054,B,PASIR PANJANG FOOD CENTRE OFF STREET,Car,510 mins,$5.00,510 mins,$5.00,"23324.7961,28741.2253",,10.30 PM,58,07.00 AM,Per min charging. Parking charge between 10.30pm & 7am is capped at $5,,,,
930 mins,$0.65,P0054,B,PASIR PANJANG FOOD CENTRE OFF STREET,Motorcycle,930 mins,$0.65,930 mins,$0.65,"23324.7961,28741.2253",,07.00 AM,32,10.30 PM,Per min charging. Parking charge between 7am & 10.30pm and between 10.30pm & 7am respectively is capped at $0.65.,,,,
510 mins,$0.65,P0054,B,PASIR PANJANG FOOD CENTRE OFF STREET,Motorcycle,510 mins,$0.65,510 mins,$0.65,"23324.7961,28741.2253",,10.30 PM,32,07.00 AM,Per min charging. Parking charge between 7am & 10.30pm and between 10.30pm & 7am respectively is capped at $0.65.,,,,
30 mins,$0.60,P0055,C,PETAIN ROAD (JALAN BESAR / TYRWHITT ROAD),Car,30 mins,$0.60,30 mins,$0.60,"30914.088,32590.1043",,08.30 AM,3,10.00 PM,,,,,
30 mins,$0.60,P0072,C,PENNEFATHER ROAD ,Car,30 mins,$0.60,30 mins,$0.60,"35540.7999,32403.7992",,08.30 AM,5,10.00 PM,,,,,
30 mins,$0.60,P0075,B,PENHAS ROAD / LAVENDER STREET OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"31277.0796,32478.0378",,07.00 AM,29,10.30 PM,Per min charging. Parking charge between 10.30pm & 7am is capped at $5,,,,
30 mins,$0.60,P0075,B,PENHAS ROAD / LAVENDER STREET OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"31277.0796,32478.0378",,10.30 PM,29,07.00 AM,Per min charging. Parking charge between 10.30pm & 7am is capped at $5,,,,
510 mins,$5.00,P0075,B,PENHAS ROAD / LAVENDER STREET OFF STREET,Car,510 mins,$5.00,510 mins,$5.00,"31277.0796,32478.0378",,10.30 PM,29,07.00 AM,Per min charging. Parking charge between 10.30pm & 7am is capped at $5,,,,
30 mins,$0.60,P0076,C,PANDAN ROAD ,Car,30 mins,$0.60,0 mins,$0.00,"18940.7025,31287.7877",,08.30 AM,91,05.00 PM,,,,,
30 mins,$0.60,P0077,C,PANDAN AVENUE ,Car,30 mins,$0.60,0 mins,$0.00,"18716.6894,31641.8871",,08.30 AM,15,05.00 PM,,,,,
30 mins,$0.60,P0078,C,PANDAN CRESCENT ,Car,30 mins,$0.60,30 mins,$0.60,"19555.1455,31993.6252",,07.00 AM,2,10.30 PM,Parking charge between 10.30pm & 7am is capped at $5.,,,,
30 mins,$0.60,P0078,C,PANDAN CRESCENT ,Car,30 mins,$0.60,30 mins,$0.60,"19555.1455,31993.6252",,10.30 PM,2,07.00 AM,Parking charge between 10.30pm & 7am is capped at $5.,,,,
510 mins,$5.00,P0078,C,PANDAN CRESCENT ,Car,510 mins,$5.00,510 mins,$5.00,"19555.1455,31993.6252",,10.30 PM,2,07.00 AM,Parking charge between 10.30pm & 7am is capped at $5.,,,,
30 mins,$0.60,P0081,C,PIONEER SECTOR 1 ,Car,30 mins,$0.60,0 mins,$0.00,"8119.2882,31767.7818",,08.30 AM,104,05.00 PM,,,,,
