CarParkID,Area,Development,Location,AvailableLots,LotType,Agency
T0140,,TANJONG KATONG ROAD OFF STREET,1.3068395612884625 103.89608109872438,55,C,URA
T0140,,TANJONG KATONG ROAD OFF STREET,1.3068395612884625 103.89608109872438,16,Y,URA
T0141,,TANJONG KATONG RD OFF ST (OPP WILKINSON RD),1.3039250916354699 103.89688542898858,25,C,URA
T0141,,TANJONG KATONG RD OFF ST (OPP WILKINSON RD),1.3039250916354699 103.89688542898858,6,Y,URA
U0036,,UPPER EAST COAST ROAD OFF STREET,1.3122387155540085 103.92605288490613,51,C,URA
U0042,,UPPER CHANGI ROAD / BEDOK ROAD OFF STREET,1.3321242011794179 103.9464677456276,0,C,URA
V0007,,VERDUN ROAD OFF STREET,1.310324224867271 103.85612855572867,2,C,URA
W0029,,WEST COAST PARK 1 OFF STREET,1.2896228087061794 103.77142607054463,64,C,URA
W0055,,WARNA ROAD OFF STREET,1.3110802058970243 103.79619690369877,0,C,URA
Y0019,,YAN KIT ROAD / CANTONMENT ROAD OFF ST,1.274548916040047 103.8414295793987,0,Y,URA
Y0019,,YAN KIT ROAD / CANTONMENT ROAD OFF ST,1.274548916040047 103.8414295793987,12,C,URA
A2,,BLK 206/207 ANG MO KIO STREET 22,1.366237056 103.8430464,94,C,HDB
A4,,BLK 217/220 ANG MO KIO AVENUE 1,1.365691621 103.8411922,145,C,HDB
A7,,BLK 212/213 ANG MO KIO STREET 23,1.368392487 103.8413018,139,C,HDB
A8,,BLK 209/210 ANG MO KIO STREET 22,1.368756071 103.8433077,7,C,HDB
A9,,BLK 202/203 ANG MO KIO STREET 22,1.36807437 103.8443922,55,C,HDB
B6,,BLK 204/209 NEW UPPER CHANGI ROAD,1.326330497 103.9303395,373,C,HDB
B7,,BLK 211/218 BEDOK NORTH STREET 1,1.32513124 103.9319217,25,C,HDB
B8,,BLK 201/203 BEDOK NORTH STREET 1,1.325881496 103.9282762,28,C,HDB
B9,,BLK 402/403 BEDOK NORTH AVENUE 3,1.330172709 103.9338152,104,C,HDB
C5,,"BLK 358-360,362-363,366-367 CLEMENTI AVE 2",1.313102659 103.7695739,0,H,HDB
C5,,"BLK 358-360,362-363,366-367 CLEMENTI AVE 2",1.313102659 103.7695739,260,C,HDB
C5,,"BLK 358-360,362-363,366-367 CLEMENTI AVE 2",1.313102659 103.7695739,108,Y,HDB
C6,,BLK 328-334 CLEMENTI AVE 2,1.314488114 103.7676912,104,C,HDB
C7,,BLK 349-355 CLEMENTI AVE 2,1.314842819 103.7705785,226,C,HDB
C8,,BLK 335/338 CLEMENTI AVE 2,1.316674657 103.7686311,195,C,HDB
C9,,BLK 340/342/343/346-348 CLEMENTI AVE 5,1.317649249 103.7703123,0,H,HDB
C9,,BLK 340/342/343/346-348 CLEMENTI AVE 5,1.317649249 103.7703123,153,C,HDB
C9,,BLK 340/342/343/346-348 CLEMENTI AVE 5,1.317649249 103.7703123,77,Y,HDB
CY,,BLK 269/269A/269B CHENG YAN COURT CAR PARK,1.300626028 103.8536649,10,C,HDB
H3,,BLK 87 ZION RD,1.291008687 103.8325154,16,C,HDB
H4,,BLK 22 HAVELOCK RD,1.288093897 103.8293714,48,C,HDB
H6,,BLK 77/79 GANGES AVENUE,1.291369664 103.8289836,111,C,HDB
H8,,BLKS 4-8 TAMAN HO SWEE,1.287726965 103.8309221,44,Y,HDB
H8,,BLKS 4-8 TAMAN HO SWEE,1.287726965 103.8309221,0,H,HDB
H8,,BLKS 4-8 TAMAN HO SWEE,1.287726965 103.8309221,36,C,HDB
J1,,BLK 101/107 JURONG EAST ST 13,1.336429723 103.7380983,172,C,HDB
J2,,BLK 108/110 JURONG EAST ST 13,1.33860776 103.7367713,63,C,HDB
J3,,BLK 111/116 JURONG EAST ST 13,1.339494837 103.7354848,137,C,HDB
J4,,BLK 201/206 JURONG EAST ST 21,1.337530169 103.7419026,54,C,HDB
J5,,BLK 207/208 JURONG EAST ST 21,1.338314475 103.7424182,100,C,HDB
J6,,BLK 209/214 JURONG EAST ST 21,1.3390681 103.7388514,108,C,HDB
J7,,BLK 215A/231 JURONG EAST ST 21,1.341543873 103.7380331,396,C,HDB
J8,,BLK 232/240 JURONG EAST ST 21,1.340430194 103.741574,91,C,HDB
J9,,BLK 241/245 JURONG EAST ST 24,1.342122435 103.7420009,71,C,HDB
K2,,"BLK 9,10,12 PINE CLOSE",1.308736475 103.8823513,0,H,HDB
K2,,"BLK 9,10,12 PINE CLOSE",1.308736475 103.8823513,28,C,HDB
K2,,"BLK 9,10,12 PINE CLOSE",1.308736475 103.8823513,37,Y,HDB
K7,,BLK 51 OLD AIRPORT ROAD,1.308894519 103.8860169,112,C,HDB
L1,,BLK 415-420 LOR LEW LIAN,1.349505832 103.8753546,33,C,HDB
M1,,BLK 85 TO 94/92A PIPIT ROAD,1.323074781 103.8864364,180,C,HDB
M3,,BLK 19 TO 21/23/24/30/32 BALAM RD,1.330680856 103.8857074,0,C,HDB
M4,,BLK 22/34/36 CIRCUIT RD,1.329022794 103.8876597,194,C,HDB
P1,,BLK 196 PUNGGOL FIELD,1.399325523 103.907016,159,C,HDB
P2,,BLK 199 PUNGGOL FIELD,1.400096829 103.9060155,142,C,HDB
P3,,BLK 101 PUNGGOL FIELD,1.398456837 103.9057745,385,C,HDB
P4,,BLK 105 EDGEFIELD PLAINS,1.397227162 103.9056229,391,C,HDB
P5,,BLK 107 PUNGGOL FIELD,1.396877555 103.9076419,244,C,HDB
P6,,BLK 109 PUNGGOL FIELD,1.395368569 103.9094623,284,C,HDB
P7,,BLK 119 EDGEFIELD PLAINS,1.395427967 103.9064702,529,C,HDB
P8,,BLK 126 EDGEDALE PLAINS,1.394228446 103.9109139,204,C,HDB
P9,,BLK 128 PUNGGOL FIELD WALK,1.392923918 103.9125375,217,C,HDB
Q8,,BLK 19/23A/23B QUEENS CLOSE,1.294206414 103.7995693,57,C,HDB
Q8,,BLK 19/23A/23B QUEENS CLOSE,1.294206414 103.7995693,0,Y,HDB
Q8,,BLK 19/23A/23B QUEENS CLOSE,1.294206414 103.7995693,0,H,HDB
T1,,BLK 101/108 TAMPINES ST 11,1.347395724 103.9462336,158,C,HDB
T3,,BLK 109/114 TAMPINES ST 11,1.346598132 103.9474328,90,C,HDB
T4,,BLK 124/127 TAMPINES STREET 11,1.345420018 103.9498142,98,C,HDB
T7,,BLK 136/138 TAMPINES ST 11,1.345469697 103.9458054,52,C,HDB
T8,,BLK 137/139 TAMPINES ST 11,1.346414231 103.9441901,127,C,HDB
T9,,BLK 140/148 TAMPINES STREET 12,1.347816332 103.9436467,190,C,HDB
U1,,BLK 101/110 BUKIT BATOK WEST AVE 6,1.348389703 103.7469815,137,C,HDB
U2,,BLK 111/132 BUKIT BATOK WEST AVE 6,1.349872484 103.7463093,472,C,HDB
U3,,BLK 133/139 BUKIT BATOK WEST AVENUE 6,1.351391957 103.7443516,42,C,HDB
U4,,BLK 140/143 BUKIT BATOK STREET 11,1.350653565 103.74322,84,C,HDB
U5,,BLK 144/149 BUKIT BATOK WEST AVENUE 6,1.350137241 103.7446779,58,C,HDB
U6,,BLK 150/158 BUKIT BATOK STREET 11,1.348029518 103.7441035,17,C,HDB
U7,,BLK 159/164 BUKIT BATOK STREET 11,1.348707664 103.7420927,116,C,HDB
U8,,BLK 165/168 BUKIT BATOK WEST AVENUE 8,1.347161979 103.7418946,11,C,HDB
U9,,BLK 169/177 BUKIT BATOK WEST AVENUE 8,1.345845573 103.7411926,65,C,HDB
W3,,BLK 4A/6A WOODLANDS CENTRE ROAD,1.4406995 103.7695026,217,C,HDB
W4,,BLK 6/7 MARSILING DRIVE,1.442458149 103.7767461,0,C,HDB
W5,,BLK 10/13 MARSILING LANE,1.440754097 103.7781943,173,C,HDB
W6,,BLK 15/16 MARSILING LANE,1.442102474 103.777954,8,C,HDB
W7,,BLK 17/21 MARSILING LANE,1.443136124 103.7776083,48,C,HDB
Y1,,BLK 101/102 YISHUN AVE 5,1.430844543 103.8280357,51,C,HDB
Y2,,BLK 103/111 YISHUN RING ROAD,1.432166554 103.8280589,153,C,HDB
Y3,,BLK 112/120 YISHUN RING ROAD,1.434711422 103.8288865,0,L,HDB
Y3,,BLK 112/120 YISHUN RING ROAD,1.434711422 103.8288865,206,C,HDB
Y4,,BLK 121/143 YISHUN STREET 11/RING ROAD,1.434754103 103.8315408,0,L,HDB
Y4,,BLK 121/143 YISHUN STREET 11/RING ROAD,1.434754103 103.8315408,261,C,HDB
Y5,,BLK 144/149 YISHUN STREET 11,1.431114532 103.8321076,54,C,HDB
Y5,,BLK 144/149 YISHUN STREET 11,1.431114532 103.8321076,0,L,HDB
Y6,,BLK 150/161 YISHUN STREET 11,1.432523042 103.8341941,0,L,HDB
Y6,,BLK 150/161 YISHUN STREET 11,1.432523042 103.8341941,96,C,HDB
Y7,,BLK 701/716 & 701B YISHUN AVENUE 5,1.427301818 103.8274505,75,C,HDB
Y7,,BLK 701/716 & 701B YISHUN AVENUE 5,1.427301818 103.8274505,0,L,HDB
Y8,,"BLK 731/746 YISHUN STREET 71,72/AVENUE 5",1.429444919 103.8312781,0,L,HDB
Y8,,"BLK 731/746 YISHUN STREET 71,72/AVENUE 5",1.429444919 103.8312781,46,C,HDB
Y9,,BLK 747/752 YISHUN STREET 72,1.427830914 103.8340126,0,L,HDB
Y9,,BLK 747/752 YISHUN STREET 72,1.427830914 103.8340126,5,C,HDB
A10,,BLK 201/202 ANG MO KIO STREET 22,1.368632982 103.844524,32,C,HDB
A11,,BLK 223/226/226A-226D ANG MO KIO ST 22,1.367035534 103.8381811,173,C,HDB
A12,,BLK 229/230 ANG MO KIO ST 22,1.368509827 103.8386753,108,C,HDB
A13,,BLK 232/233 ANG MO KIO ST 22,1.368000222 103.8368096,43,C,HDB
A15,,BLK 226E-226H ANG MO KIO ST 22,1.36696761 103.8404175,15,C,HDB
A20,,BLK 304/307/319 ANG MO KIO ST 31,1.364943381 103.8484571,21,C,HDB
A21,,BLK 325/326/301 ANG MO KIO STREET 31,1.368127559 103.8463132,329,C,HDB
A24,,BLK 338/340 ANG MO KIO ST 32,1.364753412 103.8493977,113,C,HDB
A25,,BLK 330/337 ANG MO KIO AVE 8,1.362769307 103.8516275,219,C,HDB
A27,,BLK 108/109/110 ANG MO KIO ST 11,1.370363052 103.8383207,92,C,HDB
A28,,BLK 103/105/107 ANG MO KIO ST 11,1.371649928 103.8374643,0,C,HDB
A29,,BLK 347 ANG MO KIO AVENUE 3,1.367361242 103.8487183,176,C,HDB
A30,,BLK 129/134 ANG MO KIO STREET 12,1.370989747 103.842419,0,C,HDB
A31,,BLK 119/128 ANG MO KIO ST 12,1.370451119 103.8436999,68,C,HDB
A33,,BLK 253/254 ANG MO KIO STREET 21,1.369886364 103.8345405,0,C,HDB
A34,,BLK 422/425 ANG MO KIO ST 42,1.368356473 103.8516674,102,C,HDB
A35,,BLK 426/428/435 ANG MO KIO ST 43,1.368646393 103.8540815,229,C,HDB
A36,,BLK 436/443/445 ANG MO KIO ST 43,1.366407128 103.8552788,303,C,HDB
A37,,BLK 446/449/453 ANG MO KIO ST 43,1.368113068 103.8555566,92,C,HDB
A38,,BLK 407/410/421 ANG MO KIO AVE 10,1.363963706 103.8545884,484,C,HDB
A39,,BLK 401/405 ANG MO KIO AVE 10,1.361151022 103.8540722,48,C,HDB
A40,,BLK 471/476 ANG MO KIO ST 44,1.362356151 103.8569821,298,C,HDB
A41,,BLK 466/470 ANG MO KIO ST 44,1.364936935 103.8569326,162,C,HDB
A42,,BLK 461/465 ANG MO KIO ST 44,1.366580182 103.8573639,89,C,HDB
A43,,BLK 457/458/460 ANG MO KIO ST 44,1.365996736 103.8592673,0,C,HDB
A44,,BLK 459/456 ANG MO KIO ST 44,1.367205743 103.8589905,26,C,HDB
A45,,BLK 570/578 ANG MO KIO ST 51,1.370917693 103.8552305,162,C,HDB
A47,,BLK 562/565/560 ANG MO KIO STREET 54,1.370558167 103.8592466,136,C,HDB
A48,,BLK 571/73 ANG MO KIO ST 51,1.370371281 103.8546523,27,C,HDB
A49,,BLK 555/559 ANG MO KIO STREET 54,1.371329606 103.8577971,45,C,HDB
A50,,BLK 548/552/556 ANG MO KIO STREET 54,1.372522464 103.8576096,15,C,HDB
A51,,BLK 252/253A ANG MO KIO STREET 21,1.369470739 103.8343753,11,C,HDB
A52,,BLK 701/716 ANG MO KIO AVE 3/6,1.370385433 103.8469225,4,C,HDB
A53,,BLK 712A ANG MO KIO AVE 3/6,1.370865023 103.8468773,685,C,HDB
A54,,BLK 727/728 ANG MO KIO AVE 6,1.372434359 103.8459154,435,C,HDB
A59,,BLK 547/551 ANG MO KIO ST 54,1.373896221 103.8581398,35,C,HDB
A60,,BLK 540/546 ANG MO KIO ST 54,1.374464495 103.8559134,199,C,HDB
A61,,BLK 520/534/529 ANG MO KIO AVE 5/10,1.374170446 103.85216,617,C,HDB
A63,,BLK 501/513/508 ANG MO KIO ST 52/53,1.375176821 103.8493957,290,C,HDB
A64,,BLK 584/586 ANG MO KIO ST 51,1.370506585 103.8534735,22,C,HDB
A65,,BLK 558/560 ANG MO KIO STREET 54,1.371029159 103.8594172,47,C,HDB
